name,latitude,longitude,popularity
Mercer Kitchen,40.72481,-73.99876,39225
Apple Store,40.725058,-73.999029,25277
Chez Lucienne,40.7247073,-73.9990757,7866
Fanelli Cafe,40.724555,-73.99882,5291
Kelley And Ping,40.72553,-73.99902,4084
Morrison Hotel Gallery,40.72508,-73.99968,2283
Marc Jacobs,40.72535009,-73.99955705,2107
Warby Parker,40.72547612,-73.99909973,2072
Tiffany & Co.,40.72437235,-73.99999827,1940
Magnum Soho,40.7254307,-74.0005206,1750
Ralph Lauren,40.72524786,-73.99936355,1745
Leslie+Lohman Prince Street Project,40.72565,-74.00012,1730
adidas,40.72566,-73.99974,1681
Louis Vuitton,40.72475044,-73.99937332,1523
Galeria Melissa New York,40.72436,-73.99977,1476
Kidrobot,40.72524347,-73.99958481,1401
Sonos,40.72462448,-74.00013943,1084
Rebecca Minkoff,40.72419,-73.99992,1052
Michael Kors,40.72491,-73.9989499,1012
TASCHEN,40.72463,-73.9997999,941
Magnum NYC,40.72571471,-74.00045238,690
Lululemon Athletica,40.72564686,-73.99995536,571
Dior - New York Soho,40.724661,-73.99984539,535
Louis Vuitton Store Fifth Ave,40.72504438,-73.99936671,462
Olive's Restaurant,40.72517,-73.9999,450
Dreams on Air,40.72507,-74.00025,421
Sennheiser NYC,40.72546595,-74.00049448,419
Material Good,40.72507,-74.00025,419
"Mercer Kitchen, 99 Prince Street. Soho NYC",40.72481,-73.99876,418
Louis Vitton,40.72473112,-73.99940163,409
Fendi Soho,40.72449,-73.99966,399
"Stella McCartney, New York",40.72463,-73.99954,378
The North Face,40.72592049,-73.99975148,378
Ray-Ban,40.72487,-74.00022,370
Cole Haan,40.7253518,-74.0002946,369
David Yurman,40.72499843,-73.99965227,355
Room & Board,40.72485,-74.00068,352
The Soho Building,40.7243755,-73.9996579,330
Interview Magazine,40.72450811,-73.99955516,325
Soho Fashions,40.72475106,-73.99912558,297
Anna Sui Store,40.72478,-73.99965,281
NARS Soho,40.72522,-73.99996,280
True Religion,40.72548,-74.00046,272
Ballet Beautiful,40.72425,-73.99987,268
Jimmy Choo,40.72473,-73.9997,262
"Google Hardware Store, SoHo",40.7253476,-73.9992404,245
Club Monaco,40.7253498,-73.9997315,244
Intermix,40.7246293,-73.9989162,243
"Mansur Gavriel - New York, Soho",40.72565703,-73.9996469,240
Pratima Skincare,40.7243767,-73.9996567,237
Stella & Dot,40.72514764,-74.00021289,229
Bucketfeet,40.72471,-74.0005599,216
Fred Perry New York Wooster St,40.72558,-74.00004,211
MCM,40.72431,-73.99982,196
Oakley,40.72525279,-73.99960795,185
BLANC & ECLARE,40.72549,-74.00051,178
24 Seven Inc.,40.725029,-74.000061,177
Giggle,40.72507,-74.00025,176
Leesa Dream Gallery SoHo,40.72483,-74.00046,176
John Hardy SoHo,40.7251199,-73.99975,173
Blu Dot Soho,40.72579,-73.99963,171
M.Gemi,40.72507,-74.00025,166
La Perla Soho,40.72436,-74.0002,160
Chloé,40.72436,-74.0002,157
Karen Millen,40.72505,-73.99959,153
Camper,40.7254,-73.99994,148
Atelier Beauté CHANEL,40.72507,-74.00025,146
Folli Follie Soho Nyc,40.72567259,-74.000393,145
Doob,40.72471,-74.0005599,138
Bare Minerals SoHo,40.7251199,-73.99975,135
Birkenstock Usa,40.72440051,-73.99957893,125
Mlu Miu Soho,40.72474,-73.99898,115
Photography Place,40.72522,-73.99957,114
Mac Cosmetics Corp Offices,40.7253418,-74.0005035,109
WORLD MIND,40.72571293,-73.9997215,105
Swiss Army Brands,40.725474,-74.000573,104
Space NK,40.7243799,-74,101
Calvin Klein,40.7247278,-73.9991176,77
Ben Sherman,40.72534,-73.99893,46
Shinola,40.7249,-73.99895,40
Lucky Brand,40.72565,-74.00012,39
Design Within Reach,40.72440051,-73.99957893,38
Alice + Olivia,40.72424,-73.99987,37
TUMI,40.7248,-73.99909,14
Adidas,40.7255449,-73.9999522,3
Perry Ellis,40.72446,-73.99994,3
HUGO Store,40.725351,-73.99881,2
Bare Escentuals,40.72511,-73.99974,2
Nautica,40.72497,-73.998914,1
HUGO BOSS,40.72542,-73.998726,1
